/home/benjamintan/miniconda3/envs/drlnd/bin/python /home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/run.py
Found path: /home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux/Reacher.x86_64
Mono path[0] = '/home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux/Reacher_Data/Managed'
Mono config path = '/home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux/Reacher_Data/MonoBleedingEdge/etc'
Preloaded 'ScreenSelector.so'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	ScreenSelector.so
	libgrpc_csharp_ext.x86.so
Logging to /home/benjamintan/.config/unity3d/Unity Technologies/Unity Environment/Player.log
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		goal_speed -> 1.0
		goal_size -> 5.0
Unity brain name: ReacherBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 33
        Number of stacked Vector Observation: 1
        Vector Action space type: continuous
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , ,
Number of agents: 20
Size of each action 4
There are 20 agents. Each observes a state with length: 33
Using random seed: 138
Episode 82	Average: 16.27	Min: 24.73	Max: 35.10
Episode 83	Average: 16.46	Min: 27.94	Max: 36.22
Episode 84	Average: 16.64	Min: 28.40	Max: 35.80
Episode 85	Average: 16.82	Min: 24.11	Max: 35.86
Episode 86	Average: 17.01	Min: 26.92	Max: 36.80
Episode 87	Average: 17.16	Min: 21.63	Max: 35.59
Episode 88	Average: 17.33	Min: 29.73	Max: 34.76
Episode 89	Average: 17.49	Min: 25.54	Max: 35.28
Episode 90	Average: 17.65	Min: 27.94	Max: 34.72
Saving Episode: 90.
Episode 91	Average: 17.78	Min: 22.67	Max: 33.79
Episode 92	Average: 17.93	Min: 21.10	Max: 36.00
Episode 93	Average: 18.08	Min: 27.92	Max: 36.88
Episode 94	Average: 18.22	Min: 27.91	Max: 34.99
Episode 95	Average: 18.34	Min: 23.67	Max: 33.35
Episode 96	Average: 18.49	Min: 26.87	Max: 37.71
Episode 97	Average: 18.61	Min: 25.99	Max: 34.45
Episode 98	Average: 18.73	Min: 25.79	Max: 35.76
Episode 99	Average: 18.85	Min: 26.03	Max: 34.40
Episode 100	Average: 18.98	Min: 24.68	Max: 37.00
Saving Episode: 100.
Episode 101	Average: 19.28	Min: 22.73	Max: 34.24
Episode 102	Average: 19.61	Min: 28.71	Max: 38.30
Episode 103	Average: 19.91	Min: 22.09	Max: 37.39
Episode 104	Average: 20.21	Min: 24.44	Max: 36.31
Episode 105	Average: 20.53	Min: 29.52	Max: 37.65
Episode 106	Average: 20.84	Min: 25.48	Max: 36.49
Episode 107	Average: 21.15	Min: 28.55	Max: 36.96
Episode 108	Average: 21.45	Min: 28.13	Max: 36.03
Episode 109	Average: 21.73	Min: 28.05	Max: 35.45
Episode 110	Average: 22.02	Min: 26.39	Max: 39.08
Saving Episode: 110.
Episode 111	Average: 22.29	Min: 24.55	Max: 34.04
Episode 112	Average: 22.57	Min: 26.62	Max: 33.65
Episode 113	Average: 22.83	Min: 24.59	Max: 33.56
